ztfname,ra,dec
ZTF19abdkgns,23.1054055,34.501584
ZTF21ackdwjm,23.1459782,28.2082376
ZTF21ackeofr,23.1766258,-2.0809784
ZTF22abhsrll,23.2446892,18.0761043
ZTF19acfxbxe,23.28683,1.8161677
ZTF21abubxmc,23.3215566,38.4847461
ZTF19acdfkqa,23.34822745,3.06937265
ZTF19abasxkg,23.4215485,38.0213817
ZTF20absvtnc,23.5811497,2.4653679
ZTF22abdlnkm,23.6582477,36.7206954
ZTF18abshtdj,23.6730978,-5.6348047
ZTF20abxzrqw,23.7744199,12.7999205
ZTF19abhjhes,23.7946474,28.5249278
ZTF18abqxaqe,23.8650152,-1.3888088
ZTF19acbtlkz,23.940527,45.5635525
ZTF20ackobeu,23.9696013,-5.7944823
ZTF20abqosnh,23.9729762,39.955876
ZTF19abzkyjy,24.0276784,-7.7570891
ZTF18absqhza,24.046879,27.274805
ZTF18acslbve,24.0605782,16.7013666
ZTF20acvbrbv,24.1022862,22.0497919
ZTF19abopyyu,24.1318346,26.9302949
ZTF21abjzkjf,24.1581147,17.3961665
ZTF20aaactgu,24.3009898,40.3660652
ZTF20acfvsze,24.33042,4.8019655
ZTF20aclkuqh,24.431785,-22.7042798
ZTF22aasthrj,24.4514456,15.6370587
ZTF22abkjegi,24.4544894,40.2976158
ZTF21aacvhsc,24.4621276,53.6643947
ZTF22abzuyxy,24.4707956,26.7936564
ZTF20acqzpta,24.4783786,30.1068765
ZTF21acoruyj,24.5498275,-29.7011825
ZTF20acvziuf,24.5604542,36.6095595
ZTF18abxroxl,24.5895143,3.4898331
ZTF20aanaoyz,24.5941123,23.382265850000003
ZTF21abovcii,24.6571653,35.1371186
ZTF20acgmvsn,24.7422155,48.8804926
ZTF20acehyxd,24.7675512,75.3234543
ZTF21abouuow,24.7689207,75.3226816
ZTF19abtrgey,24.8377836,7.4521054
ZTF19acfxbki,24.9017476,-0.4467267
ZTF18adcbyiw,24.9253228,31.1557769
ZTF20abywspv,24.9844401,8.7867916
ZTF18abuxjrd,25.0179842,15.0711452
ZTF22abxxyup,25.1105096,0.198457
ZTF18acckipm,25.1177603,3.5564331
ZTF22abyiqfa,25.1283677,-1.8747459
ZTF22abayewb,25.1810315,-14.4787764
ZTF18acejefd,25.251937,-20.0055205
ZTF22aazuowq,25.2798614,-13.3572934
ZTF22aanvuvq,25.2997594,15.2914482
ZTF21abwcnpe,25.3161139,23.2242767
ZTF22aatgiuw,25.4218384,1.4335588
ZTF22abyhxkq,25.431834,-14.6335197
ZTF18acdzpgs,25.4396707,-5.8253233
